lang,century_ah,death_ah,author_uri,author_translit,author_name,book_uri,title_translit,title_ar,genre_tags,n_versions,version_ids,version_files,book_path,book_yml,tafsir_flag,tafsir_reason
AR,350,334,0334IbnHaikHamdani,IbnHaikHamdani,"Ibn Ḥāʾik al-Hamdānī, Ibn Abī al-Dumayna al-Hamdānī",0334IbnHaikHamdani.Iklil,Iklil,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK010352-ara1 | Shamela0000352-ara1,0334IbnHaikHamdani.Iklil.JK010352-ara1 | 0334IbnHaikHamdani.Iklil.Shamela0000352-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHaikHamdani/0334IbnHaikHamdani.Iklil,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHaikHamdani/0334IbnHaikHamdani.Iklil/0334IbnHaikHamdani.Iklil.yml,0,
AR,350,334,0334IbnHaikHamdani,IbnHaikHamdani,"Ibn Ḥāʾik al-Hamdānī, Ibn Abī al-Dumayna al-Hamdānī",0334IbnHaikHamdani.SifatJaziratCarab,SifatJaziratCarab,Ṣifaŧ Ǧazīraŧ al-ʿArab,"_BULDAN, _JUGHRAFIYA",3,JK010368-ara2 | Rafed0002485-ara1 | Shamela0012521-ara2,0334IbnHaikHamdani.SifatJaziratCarab.JK010368-ara2 | 0334IbnHaikHamdani.SifatJaziratCarab.Rafed0002485-ara1.mARkdown | 0334IbnHaikHamdani.SifatJaziratCarab.Shamela0012521-ara2,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHaikHamdani/0334IbnHaikHamdani.SifatJaziratCarab,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHaikHamdani/0334IbnHaikHamdani.SifatJaziratCarab/0334IbnHaikHamdani.SifatJaziratCarab.yml,0,
AR,350,334,0334IbnHamdanKhusaybi,IbnHamdanKhusaybi,Ibn Fulān al-Fulānī,0334IbnHamdanKhusaybi.HidayaKubra,HidayaKubra,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,Masaha002865-ara1 | Shia001276-ara1,0334IbnHamdanKhusaybi.HidayaKubra.Masaha002865-ara1 | 0334IbnHamdanKhusaybi.HidayaKubra.Shia001276-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHamdanKhusaybi/0334IbnHamdanKhusaybi.HidayaKubra,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHamdanKhusaybi/0334IbnHamdanKhusaybi.HidayaKubra/0334IbnHamdanKhusaybi.HidayaKubra.yml,0,
AR,350,334,0334IbnHusaynKhiraqi,IbnHusaynKhiraqi,Ibn Fulān al-Fulānī,0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal,MukhtasarMinMasailIbnHanbal,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK000428-ara1 | Shamela0002977-ara1,0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal.JK000428-ara1 | 0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal.Shamela0002977-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHusaynKhiraqi/0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnHusaynKhiraqi/0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal/0334IbnHusaynKhiraqi.MukhtasarMinMasailIbnHanbal.yml,0,
AR,350,334,0334IbnSacidQushayri,IbnSacidQushayri,Ibn Fulān al-Fulānī,0334IbnSacidQushayri.TarikhRaqqa,TarikhRaqqa,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,Shamela0026383-ara1,0334IbnSacidQushayri.TarikhRaqqa.Shamela0026383-ara1.completed,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnSacidQushayri/0334IbnSacidQushayri.TarikhRaqqa,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0334IbnSacidQushayri/0334IbnSacidQushayri.TarikhRaqqa/0334IbnSacidQushayri.TarikhRaqqa.yml,0,
AR,350,335,0335AbuBakrSayrafiMatiri,AbuBakrSayrafiMatiri,Ibn Fulān al-Fulānī,0335AbuBakrSayrafiMatiri.Hadith,Hadith,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,ShamAY0032816-ara1,0335AbuBakrSayrafiMatiri.Hadith.ShamAY0032816-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335AbuBakrSayrafiMatiri/0335AbuBakrSayrafiMatiri.Hadith,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335AbuBakrSayrafiMatiri/0335AbuBakrSayrafiMatiri.Hadith/0335AbuBakrSayrafiMatiri.Hadith.yml,0,
AR,350,335,0335IbnAbiCawamm,IbnAbiCawamm,Ibn Fulān al-Fulānī,0335IbnAbiCawamm.FadailAbiHanifa,FadailAbiHanifa,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,ShamAY0032755-ara1 | ShamAY0033942-ara1,0335IbnAbiCawamm.FadailAbiHanifa.ShamAY0032755-ara1 | 0335IbnAbiCawamm.FadailAbiHanifa.ShamAY0033942-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnAbiCawamm/0335IbnAbiCawamm.FadailAbiHanifa,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnAbiCawamm/0335IbnAbiCawamm.FadailAbiHanifa/0335IbnAbiCawamm.FadailAbiHanifa.yml,0,
AR,350,335,0335IbnKulaybShashi,IbnKulaybShashi,Ibn Fulān al-Fulānī,0335IbnKulaybShashi.Musnad,Musnad,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK000576-ara1 | Shamela0013066-ara1,0335IbnKulaybShashi.Musnad.JK000576-ara1 | 0335IbnKulaybShashi.Musnad.Shamela0013066-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnKulaybShashi/0335IbnKulaybShashi.Musnad,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnKulaybShashi/0335IbnKulaybShashi.Musnad/0335IbnKulaybShashi.Musnad.yml,0,
AR,350,335,0335IbnQass,IbnQass,Ibn al-Qāṣṣ,0335IbnQass.AdabQadi,AdabQadi,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,Sham19Y0018252-ara1,0335IbnQass.AdabQadi.Sham19Y0018252-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnQass/0335IbnQass.AdabQadi,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnQass/0335IbnQass.AdabQadi/0335IbnQass.AdabQadi.yml,0,
AR,350,335,0335IbnQass,IbnQass,Ibn al-Qāṣṣ,0335IbnQass.DalailQibla,DalailQibla,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,Kraken220804162009-ara1,0335IbnQass.DalailQibla.Kraken220804162009-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnQass/0335IbnQass.DalailQibla,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnQass/0335IbnQass.DalailQibla/0335IbnQass.DalailQibla.yml,0,
AR,350,335,0335IbnQass,IbnQass,Ibn al-Qāṣṣ,0335IbnQass.FawaidHadithAbiCumayr,FawaidHadithAbiCumayr,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK001092-ara1 | Shamela0013148-ara1,0335IbnQass.FawaidHadithAbiCumayr.JK001092-ara1 | 0335IbnQass.FawaidHadithAbiCumayr.Shamela0013148-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnQass/0335IbnQass.FawaidHadithAbiCumayr,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnQass/0335IbnQass.FawaidHadithAbiCumayr/0335IbnQass.FawaidHadithAbiCumayr.yml,0,
AR,350,335,0335IbnWahbKatib,IbnWahbKatib,Ibn Fulān al-Fulānī,0335IbnWahbKatib.BurhanFiWujuhBayan,BurhanFiWujuhBayan,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",1,Sham19Y0020986-ara1,0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnWahbKatib/0335IbnWahbKatib.BurhanFiWujuhBayan,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335IbnWahbKatib/0335IbnWahbKatib.BurhanFiWujuhBayan/0335IbnWahbKatib.BurhanFiWujuhBayan.yml,0,
AR,350,335,0335Suli,Suli,al-Ṣūlī,0335Suli.AdabKuttab,AdabKuttab,Kitāb al-Muʾallif,"src@keyword, src@keyword, src@keyword",2,JK009312-ara1 | Shamela0001601-ara1,0335Suli.AdabKuttab.JK009312-ara1 | 0335Suli.AdabKuttab.Shamela0001601-ara1.completed,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335Suli/0335Suli.AdabKuttab,/Volumes/LaCie/openiti_corpus/AR/0350AH/data/0335Suli/0335Suli.AdabKuttab/0335Suli.AdabKuttab.yml,0,
